"동별(1)","동별(2)",시점,발생 (건),발생 (건),발생 (건),발생 (건),소실,소실,소실,피해액 (천원),피해액 (천원),피해액 (천원),재산피해경감액 (천원),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),사망 (명),사망 (명),사망 (명),사망 (명),부상 (명),부상 (명),부상 (명),부상 (명),이재민수 (명),인명구조 (명)
"동별(1)","동별(2)",시점,소계,실화,방화,기타,동수 (동),이재세대수 (가구),면적 (m²),소계,부동산,동산,소계,소계,남,여,미상,소계,남,여,미상,소계,남,여,미상,소계,소계
"합계","관악구",2020,219,195,4,20,68,10,816,646149,249984,396165,7478102,-,-,-,-,2,-,-,-,15,-,-,-,17,34
"합계","관악구",2021,259,224,7,28,43,25,1087,562294,289865,272429,6593390,-,-,-,-,2,-,-,-,17,-,-,-,35,30
"합계","관악구",2022,305,275,3,27,34,38,1003,337349,155294,182055,3722495,18,10,8,-,1,1,-,-,17,9,8,-,44,50
"합계","관악구",2023,281,244,3,34,25,19,778,469973,183301,286672,9213378,16,9,7,-,2,-,2,-,14,9,5,-,34,18
"합계","관악구",2024,240,212,6,22,2,9,361,425136,115423,309713,10599443,10,7,2,1,-,-,-,-,10,7,2,1,13,5
"합계","서초구",2020,240,205,1,34,31,5,2093,555349,234894,320455,14929631,-,-,-,-,1,-,-,-,10,-,-,-,11,30
"합계","서초구",2021,231,215,3,13,18,9,1758,549807,213184,336623,3919904,-,-,-,-,-,-,-,-,9,-,-,-,25,31
"합계","서초구",2022,216,195,3,18,21,13,2531,406287,146170,260117,11484022,13,9,4,-,-,-,-,-,13,9,4,-,19,43
"합계","서초구",2023,239,209,1,29,9,4,313,320440,85947,234493,26536318,8,6,2,-,1,1,-,-,7,5,2,-,6,13
"합계","서초구",2024,253,203,4,46,6,49,845,585691,305509,280182,2015189,8,6,2,-,-,-,-,-,8,6,2,-,67,8
"합계","강남구",2020,387,360,4,23,59,2,908,1451556,923684,527872,55087485,-,-,-,-,1,-,-,-,18,-,-,-,6,45
"합계","강남구",2021,391,356,6,29,36,13,1909,1354949,612282,742667,40396155,-,-,-,-,2,-,-,-,15,-,-,-,35,36
"합계","강남구",2022,437,402,9,26,64,28,1721,1923724,874519,1049205,330207705,17,12,5,-,-,-,-,-,17,12,5,-,32,54
"합계","강남구",2023,422,385,3,34,13,44,6395,2767956,1129051,1638905,63001659,10,3,7,-,-,-,-,-,10,3,7,-,63,6
